id;nomClient;adresseClient;idEtat;id2;tempsInsc;somme1;somme2
110;K L Consulting;445 Park Ave.;43;7;27/01/1994 19:47;77500;42420.2392
111;DBN Bank;242 Ashland Ave.;20;34;20/12/2000 08:42;13990;24968.5648
112;Hart Corporation;1777 balsamic Ave.;41;31;22/11/1998 02:00;58058;1610.5680
113;Hoffman Printing Center;430 Oakland Drive;44;39;12/02/2005 09:20;6296.;62114.6930
114;Pasifico Inc.;1233 Arbor Rd.;45;16;09/04/1972 00:28;5631.;73285.6654
115;Auto Interior Carpeting Compan;844 Spruce St.;48;40;13/04/2001 09:00;49944;34638.4350
116;Trapezoid Studios;54 Lakeview Terrace;6;25;11/01/1972 06:40;52216;48645.6910
117;Pac Builders;1270 Linden Ave.;11;9;30/04/1974 14:20;99607;90376.3818
118;Dapper's Antiques;2024 St.Johns Ave.;19;23;16/02/2007 04:27;14295;34862.7030
119;Tub's Furniture Store;1547 Vine;31;43;17/01/1990 18:13;18240;25882.4093
120;Kermit the Pet Shop;1235 Easton Rd.;3;20;13/11/1992 04:02;95802;18212.1840
121;First National Bank of Ottowa;465 Stratford Rd.;5;41;07/07/1972 13:27;67344;140.8432
122;Terrinni & Son Auto and Truck;1859 Green Bay Rd.;12;44;11/12/1970 10:40;12928;28625.1218
123;Esmarda Chemical Manufacturers;10 Marquette Rd.;4;45;23/11/2005 01:35;88025;48491.3736
124;First National Bank of Ottowa;2632 Prarie Ln.;44;48;31/12/1970 02:53;24196;14840.3157
125;Facelift Kitchen and Bath;3100 Trailer Way;47;6;15/01/1993 12:13;15220;91232.5356
126;Nina's Snow Plowing;302-A Crestwood Village Rd.;35;11;13/08/2004 13:27;71856;73505.9520
127;Flinn Mosquito and Pest Contro;1859 Green Bay Rd.;43;19;18/06/1994 09:15;87452;65216.8000
128;Resnick DDS;302-A Crestwood Village Rd.;25;31;25/09/1974 17:53;23098;13011.1353
129;Air Mexico;1535 Knollwood Drive;14;3;23/09/1974 10:20;85200;78053.9692
130;Gordon & Son Brockerage Ltd.;899 Harvard Ct;31;5;24/10/2006 15:27;70403;46721.0000
131;Griffith Paving and Sealcoatin;2922 Twin Oaks Drive;22;12;22/11/1971 23:20;38164;54746.0524
132;AAA Daniels Antiques;600 Central Ave;15;4;30/12/1983 19:20;9868.;87040.7075
133;Smith Communications Inc.;750 Homewood Ave.;31;44;04/06/1989 11:40;53001;60328.1145
134;Myers Chocolates and Confectio;2644 Princeton Ln.;21;47;20/08/1983 05:00;95735;30155.8229
135;Masterlands Cleaning;2224 Sherman Rd.;26;35;10/11/2004 09:35;41009;92184.8600
136;Futoons Cartoons Emporium;465 Stratford Rd.;25;43;08/03/1971 06:00;14133;22700.9968
137;Block Boats and Lures;1858 Balsam Way;47;25;06/11/2007 16:42;6582.;27622.6080
138;Vanity Town;302-A Crestwood Village Rd.;7;14;20/02/1975 20:27;46712;25546.0548
139;Morton Roofing and Siding;1658 Second St.;33;31;12/12/1974 17:07;27386;40890.5276
140;Caranisco Homes;3344 Beachwood Ln.;15;22;11/09/1993 07:02;11552;61800.5160
141;DBN Bank;2600 Winsor Mall;20;15;27/11/1993 11:33;70626;93936.8580
142;Hart Corporation;1658 Second St.;10;31;10/10/2003 16:33;82624;66993.3696
143;Nel Video Productions;1715 Chicago Ave.;20;21;16/01/1970 17:47;31760;42975.8249
144;Maintence Services of Maine;1658 Second St.;35;26;16/12/1989 16:02;2253.;67904.2224
145;Woodworks Co.;445 Park Ave.;11;25;05/07/2001 07:55;2818.;11610.3016
146;Glenn Oaks Office Supplies;746 Judson Place;6;47;23/11/1989 12:28;16480;746.0806
147;Funnyface Amusement Games;2220 Grant Blvd.;7;7;04/07/1986 23:27;36104;84428.2112
148;Highland Lanes;224  Highwood Ave.;35;33;11/09/2001 07:13;95664;67889.7128
149;Marcy Elaine Bakery;1750 Lily Court;45;15;03/11/1982 19:33;11496;88953.1544
150;janice Mann Accounting Service;3181 Barkwood Ct.;11;20;25/08/1999 17:53;42674;59793.3440
151;Lickmen Restoration;1875 Roger Williams Ave.;9;10;17/01/1980 23:33;63304;14949.6536
152;Moveit Motercycle Service;969 Saxony Drive;41;20;16/12/2006 20:13;52835;23305.0100
153;Cradle the Call;785 Highland place;1;35;19/05/2005 23:40;97244;64408.5250
154;Kapp Camera and Video;1619 Judson Ave. Apt #34B;37;11;18/10/1989 16:22;29748;75167.2808
155;Marcy Elaine Bakery;430 Oakland Drive;26;6;23/08/2002 13:42;66458;29281.6816
156;Ernie's Foriegn Car Service;5518 Madison St.;46;7;30/12/1986 04:13;42200;96923.7456
157;Myles Building Consultants;367Bluebird Terr.;41;35;12/01/2006 06:00;73508;91960.5823
158;Cotton Thumb Ltd.;433 Burton Ave.;18;45;02/09/1977 15:53;54348;68825.3132
159;Lickmen Restoration;1101 Deerfield Place;44;11;30/04/2004 09:00;35296;28400.9652
160;Marks, Marks, and Kaplan Ltd.;1019 Deerfield Rd.;28;9;28/03/2006 11:33;58158;88159.9412
161;Morton Roofing and Siding;313 Grove Ave.;26;41;02/11/1992 18:02;55520;14379.5080
162;P K M Packaging Supply;1077 Court Ave.;12;1;05/01/2000 04:53;82360;30820.1048
163;Trapezoid Studios;14836 W. River Oaks Dr.;35;37;24/09/1975 15:13;36376;93888.8917
164;Salt & Pepper Catering Service;770 Exmoor Rd.;3;26;16/03/2000 12:28;72598;29061.0965
165;Darcy Frame and Matting Servic;42 Valley Rd.;37;46;15/08/2006 13:40;63840;72035.4738
166;Jay's Cabinet Company;1 Twin Oaks Place;49;41;15/05/1993 01:55;81480;12930.7150
167;Marks, Marks, and Kaplan Ltd.;770 Exmoor Rd.;31;18;03/07/1996 14:20;64385;26425.0550
168;Camp Oconomowoc;1245 Eastwood;9;44;09/08/1980 01:02;57009;95225.9200
169;Innman Paint and Glass;673 Calais Drive;5;28;25/10/1996 00:33;39410;59504.8794
170;Kermit the Pet Shop;1482 Concorde Circle;16;26;28/10/2000 01:00;61704;75734.8710
171;Pasifico Inc.;1235 Easton Rd.;7;12;01/02/1972 02:40;22248;21182.6096
172;Block Boats and Lures;618 Sheriden rd.;1;35;16/05/2001 12:33;22504;15952.7112
173;Myles Building Consultants;1077 Court Ave.;11;3;06/01/2001 16:53;35436;70414.5286
174;Childress Child Day Care;1882 St. Johns;1;37;05/11/1975 22:53;76014;84328.3125
175;Parties Galore Golf Course;857 Woodbine Rd;33;49;09/07/1977 02:33;36512;3210.3180
176;Facelift Kitchen and Bath;3150 Skokie Valley Rd.;7;31;25/01/2004 06:27;38200;82094.9508
177;Esmarda Chemical Manufacturers;1907 S. Prospect Ave.;27;9;10/04/2006 23:42;86880;41009.4504
178;Pivot Point College;2148 Eastview Dr.;31;5;13/01/1971 07:33;44564;72896.6740
179;Smith & Wesson Militia;1839 McCraren Rd.;31;16;04/10/2000 07:53;1452.;37980.0392
180;Kapp Camera and Video;2220 Grant Blvd.;15;7;24/10/1994 20:35;19136;93892.0933
181;Ampro Office Team Ltd.;844 Spruce St.;29;1;20/09/1990 11:42;97120;18963.7210
182;Hart Corporation;1701 W. Mellody Rd.;6;11;29/04/2000 10:48;58406;56244.8886
183;AAA Daniels Antiques;511 Hill;13;1;01/03/1977 10:27;36506;94185.5039
184;Palmer Golf Supplies;1860 Parkside Ln.;32;33;06/11/2004 22:15;87604;43880.0118
185;Mail Boxes Et. Al.;22 Clay rd.;48;7;18/02/2002 04:28;42816;77500.9892
186;Highland Woods City Hall;2632 Prarie Ln.;29;27;15/12/2001 07:07;12577;56096.9800
187;Meonits & Mogogni Inc.;844 Spruce St.;50;31;07/08/1994 23:53;78096;23330.8970
188;Doerner's Awnings and Canopies;618 Sheriden rd.;16;31;20/03/2006 15:08;38583;21529.2232
189;Keyth Contracting and Repair;266 Green Bay Rd.;12;15;10/09/2000 09:27;62900;24842.2402
190;Highland Heights Gift Shop;465 Stratford Rd.;42;29;21/05/2001 03:40;54420;88768.7726
191;Auto Interior Carpeting Compan;22 Clay rd.;15;6;03/02/2005 21:48;11110;51360.9800
192;Portugal, Liddy, & Son Ltd.;629 Kincaid Ave.;12;13;16/12/2001 10:53;35808;97008.1688
193;Hilco Auto Body;54 Lakeview Terrace;15;32;04/12/2005 07:47;19680;85163.2000
194;Morton Roofing and Siding;1912 Old Briar Lane #2;7;48;25/06/1974 22:22;11972;136.0523
195;Schnitzer Denist College;628 Orwenstensia;30;29;24/09/1974 14:07;61690;39150.7175
196;Morgan Construction Co;4259 W. Lake Ave.;23;50;09/04/1992 14:48;87739;49355.9160
197;Air Barbados;42 Valley Rd.;37;16;11/04/1977 09:47;39884;88031.0840
198;Bee Line Publishing;671 Blackstone Ave.;7;12;22/01/2002 13:35;22784;89725.4770
199;Transformation Enterprises;669 Kikaid;8;42;14/06/1982 11:53;43353;12351.2164
200;Cradle the Call;550 Sheridan;30;15;26/10/1986 08:40;89430;40968.0872
201;Nel Video Productions;1270 Linden Ave.;7;12;14/10/1985 18:47;74575;84434.0036
202;Darcy Frame and Matting Servic;220 Vine Ave.;5;15;30/04/1993 21:00;91758;2522.0058
203;Green Bay Travel Services;1444 Chantilly Ln.;38;7;07/07/1977 22:47;86625;79320.2956
204;Nyman Interior Design;456 Groverland Ave.;48;30;09/09/1978 04:33;54440;73204.2780
205;Air France;42 Valley Rd.;9;23;08/03/2005 07:35;82380;3511.7144
206;Dependable Plumbing and Sewer;4763 Blackhawk Rd.;24;37;03/11/2007 05:22;19756;54886.1830
207;Green Shoes Corp.;310 Walker Ave.;36;7;10/01/1994 00:00;9281.;30359.1770
208;janice Mann Accounting Service;368 Woodland Rd.;38;8;19/09/1993 09:28;64440;48635.0300
209;Mac Computer Warehouse;618 Sheriden rd.;12;30;06/04/2006 17:40;10750;13688.0268
210;Marks, Marks, and Kaplan Ltd.;77 Blackhawk Rd;43;7;23/10/2000 12:48;41001;13868.1805
211;Portugal, Liddy, & Son Ltd.;839 Burton Ave;34;5;19/01/2002 11:20;43200;62590.4969
212;Gourmet the Frog;302-A Crestwood Village Rd.;29;38;01/11/1990 22:53;38450;87150.3400
213;Green Shoes Corp.;2479 Woodridge Drive;19;48;20/10/1982 12:07;6680.;5590.3198
214;Glenwood Credit Union;2936 Arlington Ave.;46;9;12/06/2006 11:42;54946;27182.0938
215;Schnitzer Denist College;220 Vine Ave.;30;24;03/02/1996 06:02;69545;53246.1312
216;Green Shoes Corp.;1795 Lake Cook Rd.;13;36;19/08/2000 16:47;94920;63148.1286
217;Moveit Motercycle Service;2045 St. johns Ave.;17;38;18/04/1974 06:53;16644;23767.0556
218;Eva Galler Galleries Inc.;673 Calais Drive;38;12;03/02/1975 22:53;33518;14075.2605
219;Highland Heights Gift Shop;550 Sheridan;49;43;26/09/2004 07:15;88598;41888.6088
220;George Lee Antiques;1155 Ridgewood Drive;22;34;14/12/2006 16:15;95652;11218.4867
221;Smith Communications Inc.;1535 Knollwood Drive;41;29;21/09/1987 13:55;8484.;75348.3390
222;Office Pro Supply Co.;872 Virginia Rd.;48;19;08/06/1978 14:20;81320;23040.9840
223;Eva Galler Galleries Inc.;2505 Allison ct.;3;46;15/05/2000 15:42;68720;35460.8066
224;AA Advertising;35 Glenlake Dr.;13;30;18/05/2004 04:47;75136;13600.8874
225;Dependable Plumbing and Sewer;1920 Sunnyside Ave.;35;13;08/06/2005 15:53;19531;77948.2090
226;Mail Boxes Et. Al.;965 Marion Place Apt. 65C;33;17;03/03/2004 02:02;50440;38724.8679
227;Mergenthaler Inc.;1575 Oak Ave.  Apt. 2C;29;38;11/10/1992 11:40;20265;51858.8156
228;Park District Of America;1715 Chicago Ave.;8;49;27/01/2003 23:47;23776;52788.4182
229;New Dehli Auto Exchange;456 Groverland Ave.;6;22;10/02/1982 03:33;40990;70552.4437
230;Masterlands Cleaning;21 Lakeview Terrace #2312;42;41;01/09/1978 13:13;92336;16567.8758
231;Woodworks Co.;2220 Grant Blvd.;15;48;15/11/1980 01:33;16470;20690.9076
232;Palmer Golf Supplies;2510 Crain;37;3;30/10/1983 22:13;5928.;14900.1988
233;Lickmen Restoration;4522 N. Greenview Apt. 1B;12;13;07/12/2004 06:13;93677;8756.0532
234;Deer Lake Inn;1701 W. Mellody Rd.;40;35;01/07/1985 11:00;95531;94767.7850
235;Smith Communications Inc.;3062 Lindenwood Ln.;6;33;02/09/1990 08:20;91880;80510.7808
236;Park District Of America;1859 Green Bay Rd.;36;29;10/07/2005 04:48;95636;42700.9600
237;New Dehli Auto Exchange;1535 Knollwood Drive;18;8;25/06/2004 13:42;34300;37836.9730
238;Innman Paint and Glass;643 De Temple Rd.;22;6;27/01/2003 20:40;79472;35880.2828
239;John G. Hartling Ltd.;600 Central Ave.;15;42;12/12/1998 22:00;63262;81663.7760
240;Dean Grant Buick and Crysler;1482 Concorde Circle;44;15;15/08/2000 15:53;52540;39680.1654
241;American Deli Workers Union;965 Marion Place Apt. 65C;18;37;24/08/1989 12:07;77004;91588.7832
242;Loyal Order of Buffalo;1019 Deerfield Rd.;29;12;06/05/2006 21:00;45914;54463.2264
243;Car Suite Cleaners;1235 Easton Rd.;48;40;04/05/1982 03:28;84811;39624.6000
244;Foy Aviation;1715 Chicago Ave.;24;6;29/09/1982 07:02;89196;16812.1440
245;Kapp Camera and Video;511 Hill;16;36;23/07/2002 07:42;51310;16074.5696
246;Lee Stairworks and Carpentry,;42 Valley Rd.;15;18;08/04/1980 07:35;83792;55376.4793
247;Lake Shore Publishing;115 Judson Rd.;39;22;08/06/1990 16:47;73548;4985.7264
248;Marcy Elaine Bakery;367Bluebird Terr.;45;15;04/12/1983 23:08;95840;92544.6850
249;Hart Corporation;77 Blackhawk Rd;35;44;19/12/2002 23:07;55006;10840.4219
250;North West Gas Co.;1 Twin Oaks Place;38;18;22/04/1987 15:27;37738;54629.8858
251;DBN Bank;550 Sheridan;22;29;04/01/2004 10:27;69238;85990.5975
252;Arthur M. Feildberg Galleries;3901 Chester Ave. Apt. 3C;18;48;11/05/1986 13:53;54885;85709.9584
253;Block Boats and Lures;115 Judson Rd.;7;24;31/10/2001 00:40;26160;28666.4212
254;Smith Communications Inc.;1920 Sunnyside Ave.;17;16;20/04/2000 09:15;43751;79375.1946
255;Acturial Enterprises Ltd.;669 Kikaid;18;15;15/09/1989 23:00;31965;41600.0199
256;Mac Computer Warehouse;2024 St.Johns Ave.;7;39;08/07/2004 10:35;51018;99928.9187
257;Futoons Cartoons Emporium;456 Grossman Ln.;45;45;14/07/2006 03:53;5712.;12136.1775
258;Acme Chemical Supply;632 Roger Williams;19;35;03/08/2005 05:13;98804;44962.6015
259;Cosmo Skin Care Center;115 Pleasent Ave.;49;38;19/05/2005 07:00;3483.;84620.6572
260;Woodworks Co.;1220 Heather Lane;46;22;23/01/1985 03:47;45548;25452.6714
261;Block Boats and Lures;12 Fort Sheriden Ave.;3;18;22/06/2004 11:27;18692;45909.9568
262;Funnyface Amusement Games;225 Jeffrys Place;19;7;08/08/1983 15:13;95570;95906.6600
263;Kapp Camera and Video;310 Walker Ave.;19;17;12/09/2002 22:48;17946;18003.2240
264;Trapezoid Studios;965 Marion Place Apt. 65C;22;18;30/06/1970 14:20;30637;61936.9600
265;Portugal, Liddy, & Son Ltd.;433 Burton Ave.;19;7;22/01/2000 12:00;54708;55838.3372
266;Hibbard Road Suppliers;632 Florence Dr.;48;45;03/02/2005 05:48;13150;58657.9407
267;Air France;632 Florence Dr.;48;19;04/01/2005 03:35;14858;87089.6437
268;Air Guatamala;430 Oakland Drive;22;49;16/11/1971 08:15;44880;84775.5167
269;Acme Chemical Supply;970 Vilas Circle;1;46;01/03/1980 02:55;18652;39184.6840
270;Lutz Soft Cloth Car Wash;937 Judson Ave.;21;3;12/10/1980 01:53;26720;47214.0663
271;Parties Galore Golf Course;1287 Glencoe Ave.;46;19;21/04/2004 12:53;6828.;83600.9300
272;Hilco Auto Body;231 Sheriden Rd.;22;19;29/01/1992 04:40;16720;28992.9584
273;Esmarda Chemical Manufacturers;574 Chicago Ave.;40;22;24/03/2005 16:40;57635;13412.3209
274;BBQ Smith's Tex Mex;2112 Ravine Drive;16;19;16/05/1992 15:42;31160;33792.7880
275;janice Mann Accounting Service;2224 Sherman Rd.;42;48;10/11/1993 10:28;10292;68778.5696
276;Bako Delicatessen;2678 Sheridan Rd.;20;48;15/09/2000 19:27;60223;13588.8511
277;Meonits & Mogogni Inc.;3901 Chester Ave. Apt. 3C;17;22;07/10/2000 12:35;58180;42279.0029
278;Glenwood Credit Union;865 Old Tall Tree Lane;32;1;20/01/1993 20:00;16500;79200.7564
279;Deer Lake Inn;425 Lake Ave.;32;21;27/03/1977 16:15;84094;23867.0200
280;Elle Hypnosis and Therapy Cent;872 Virginia Rd.;24;46;20/05/1971 16:07;13525;62050.3605
281;Hi-Land Art & Frame;218 Oakridge Ave.;41;22;05/06/2001 12:22;86560;3405.5152
282;New Dehli Auto Exchange;241 Callan Rd.;37;40;21/08/1987 07:55;7902.;39272.8311
